"x"
0.415
0.478
0.128
0.299
0.457
0.179
0.243
0.405
0.295
0.088
0.059
0.117
0.102
0.042
0.081
0.373
0.168
0.231
0.006
0.039
0.347
0.129
0.037
0.11
0.174
0.463
0.178
0.043
0.001
0.17
0.099
0.198
0.032
0.058
0.162
0.03
0.058
0.176
0.321
0.029
0.195
0.065
0.367
0.041
0.255
0.272
0.087
0.185
0.145
0.022
0.192
0.184
0.246
0.044
0.484
0.052
0.104
0.39
0.327
0.204
0.157
0.397
0.232
0.156
0.14
0.48
0.165
0.337
0.461
0.343
0.442
0.172
0.311
0.293
0.029
0.333
0.392
0.444
0.444
0.271
0.077
0.376
0.434
0.168
0.146
0.459
0.14
0.366
0.252
0.223
0.188
0.112
0.399
0.456
0.338
0.417
0.31
0.092
0.419
0.023
0.02
0.021
0.059
0.034
0.078
0.03
0.055
0.161
0.101
0.33
0.152
0.034
0.183
0.075
0.332
0.256
0.103
0.083
0.254
0.053
0.127
0.076
0.023
0.089
0.22
0.045
0.025
0.184
0.249
0.357
0.241
0.318
0.225
0.498
0.03
0.12
0.291
0.481
0.415
0.204
0.461
0.089
0.492
0.097
0.382
0.1
0.019
0.405
0.034
0.07
0.003
0.171
0.408
0.459
0.125
0.182
0.401
0.094
0.233
0.09
0.309
0.083
0.052
0.259
0.209
0.306
0.185
0.154
0.368
0.355
0.258
0.076
0.351
0.493
0.437
0.474
0.383
0.005
0.124
0.237
0.005
0.376
0.219
0.006
0.159
0.063
0.24
0.16
0.413
0.156
0.27
0.02
0.132
0.059
0.261
0.416
0.18
0.119
0.025
0.184
0.32
0.435
0.175
0.123
0.434
0.056
0.056
0.186
0.113
0.261
0.088
0.437
0.218
0.266
0.264
0.164
0.239
0.251
0.146
0.229
0.125
0.319
0.247
0.115
0.393
0.429
0.327
0.101
0.102
0.353
0.154
0.401
0.062
0.08
0.021
0.153
0.23
0.404
0.239
0.185
0.484
0.111
0.487
0.233
0.015
0.393
0.358
0.197
0.137
0.066
0.218
0.041
0.101
0.405
0.486
0.386
0.045
0.412
0.188
0.249
0.168
0.212
0.322
