"","l","Group.1","Observed","Updated","Observed_sd","Updated_sd","Observed_up","Observed_down","Updated_up","Updated_down"
"1",-1,-1,4.81614652159806,6.7754675253303,1.92556619877979,2.90529355422875,6.74171272037785,2.89058032281826,9.68076107955904,3.87017397110155
"2",-0.9,-0.9,4.89167858246188,6.93304150936927,1.96034660150193,2.97192571337248,6.85202518396381,2.93133198095994,9.90496722274176,3.96111579599679
"3",-0.8,-0.8,4.97323757669174,7.10834741175609,1.99758540795177,3.04465099493276,6.97082298464352,2.97565216873997,10.1529984066889,4.06369641682333
"4",-0.7,-0.7,5.06142474102711,7.30464922383679,2.03749835518582,3.12437527532502,7.09892309621293,3.02392638584129,10.4290244991618,4.18027394851177
"5",-0.6,-0.6,5.15689647809122,7.5260729085615,2.08031718341484,3.21220553364119,7.23721366150606,3.07657929467638,10.7382784422027,4.31386737492031
"6",-0.5,-0.5,5.26036478955057,7.77789259129206,2.12628862881578,3.30950970963601,7.38665341836635,3.13407616073478,11.0874023009281,4.46838288165605
"7",-0.4,-0.4,5.37259577960682,8.06692269267645,2.17567238652581,3.41799875560239,7.54826816613263,3.19692339308102,11.4849214482788,4.64892393707406
"8",-0.3,-0.3,5.49440559855178,8.40205458307308,2.22873775513359,3.53984163717474,7.72314335368537,3.26566784341819,11.9418962202478,4.86221294589834
"9",-0.2,-0.2,5.62665314193336,8.79498651621018,2.28575869141317,3.67783125816374,7.91241183334653,3.34089445052019,12.4728177743739,5.11715525804644
"10",-0.1,-0.1,5.77022881579133,9.26120304697895,2.34700707958049,3.83563183386151,8.11723589537182,3.42322173621084,13.0968348808405,5.42557121311744
"11",0,0,5.92603874714153,9.82125701400622,2.41274416513282,4.01815743236335,8.33878291227435,3.51329458200871,13.8394144463696,5.80309958164286
"12",0.1,0.1,6.09498398828133,10.5023790513295,2.48321031362609,4.2321513835665,8.57819430190742,3.61177367465524,14.734530434896,6.27022766776303
"13",0.2,0.2,6.2779345594663,11.340366228433,2.55861350039189,4.48702981531708,8.83654805985819,3.71932105907442,15.82739604375,6.85333641311588
"14",0.3,0.3,6.47569861525306,12.3815649335933,2.63911717250551,4.79596059811435,9.11481578775857,3.83658144274755,17.1775255317077,7.58560433547898
"15",0.4,0.4,6.68898760327864,13.6845642121085,2.72482830751701,5.17691872759217,9.41381591079565,3.96415929576163,18.8614829397007,8.50764548451638
"16",0.5,0.5,6.91837897120162,15.3209903979242,2.81578660817842,5.65316629289204,9.73416557938004,4.10259236302321,20.9741566908162,9.66782410503212
"17",0.6,0.6,7.16427867809026,17.3746299629848,2.91195582863628,6.25253423393227,10.0762345067265,4.25232284945398,23.6271641969171,11.1220957290525
"18",0.7,0.7,7.42688634389737,19.9381673562743,3.01321823165447,7.00531308637905,10.4401045755518,4.4136681122429,26.9434804426534,12.9328542698953
"19",0.8,0.8,7.70616617090039,23.1073102090986,3.11937309270942,7.94135347751799,10.8255392636098,4.58679307819097,31.0486636866166,15.1659567315806
"20",0.9,0.9,8.00182667138607,26.9730238294208,3.23013991883223,9.08756388549949,11.2319665902183,4.77168675255384,36.0605877149203,17.8854599439213
"21",1,1,8.31331168831169,31.6136363636364,3.34516658338602,10.4669256237868,11.6584782716977,4.96814510492567,42.0805619874231,21.1467107398496
