"site","plot","year","shannon","pH","row_shannon","species_richness","hills_number"
51,489779,2014,2.47602921868749,"mv",2.12909214381281,47,8.40723078927041
51,489783,2014,2.36742861159328,"4.7",2.07882662330237,46,7.99508216516875
51,489787,2014,2.06162391831765,"mv",1.53536329537682,43,4.64301200838765
51,489789,2014,1.81809333942716,"mv",1.48010473043958,40,4.39340578014373
51,489791,2014,2.16918109409904,"4.6",1.90413431497095,37,6.71359325411876
51,489795,2014,2.18118369271077,"mv",1.6135480077478,43,5.02059276669617
51,489796,2014,2.12809793729154,"mv",1.76948774211223,38,5.86784674058864
51,489797,2014,2.40997150340895,"mv",2.15914675690541,37,8.6637422256338
77,490854,2014,2.34344022867803,"5.",2.16466270257537,27,8.71166299974044
77,490855,2014,1.92505119180233,"mv",1.60669578101065,30,4.98630812392401
77,490866,2014,2.24257146739282,"mv",2.00954696552409,33,7.45993697302708
77,490869,2014,1.82163403145821,"mv",1.57204942457027,30,4.81650915788378
77,490870,2014,2.44595541569408,"mv",2.30488426881998,28,10.0230182095749
77,490874,2014,1.81353241254398,"mv",1.47065585686125,29,4.35208855238363
77,490878,2014,1.88163847238488,"mv",1.71221556775211,27,5.54122484652235
77,490882,2014,2.06648648183677,"mv",1.90702965715244,22,6.73305957108225
77,490886,2014,1.81531216477702,"3.5",1.55526550307495,27,4.73634387209938
77,490890,2014,2.07106921408995,"5.",1.84398782146302,24,6.32169786410711
78,490905,2014,2.27689219219608,"mv",1.93381563108083,34,6.91584828716875
78,490906,2014,2.02433523125737,"mv",1.61032129118691,41,5.00441884523367
78,490912,2014,2.06853476161654,"3.8",1.84639212798941,23,6.33691545007963
78,490920,2014,2.56747270542419,"mv",2.31199745601261,39,10.0945679861259
78,490921,2014,2.62907161961064,"mv",2.34262717331552,43,10.4085457276589
78,490925,2014,2.61085975599268,"mv",2.13519825831573,56,8.4587233528769
78,490928,2014,2.78610249427042,"mv",2.6632750175133,35,14.343186448755
78,490929,2014,2.23204704208743,"4.5",1.89466804358368,39,6.65034041500353
78,490931,2014,2.40406545029291,"mv",2.14317421714111,43,8.52645955353714
87,787543,2014,2.34684299136327,"mv",2.22419215237283,37,9.24601041846149
87,787544,2014,2.26956842180142,"mv",2.08549259436267,41,8.04855517827872
87,787545,2014,2.41386320990248,"mv",2.1345140699511,36,8.45293797215001
87,787546,2014,2.24758493466459,"mv",2.02311084726053,35,7.56181202456587
87,787549,2014,2.61911510851528,"mv",2.47710075824907,42,11.9066939437864
87,787550,2014,2.53396393866167,"mv",2.34411485344718,44,10.4240418381072
87,787551,2014,2.47007453752383,"mv",2.19836187337917,46,9.01024148708403
87,787552,2014,2.59026565001427,"4.6",2.29118030170817,48,9.88659996814109
87,788215,2014,2.46310432187559,"4.7",2.27758068395015,32,9.75305611853603
114,788478,2014,2.32606982743498,"mv",2.10767901097281,34,8.22911940653019
114,788479,2014,2.55166199785288,"mv",2.40824774379681,34,11.1144686754706
114,788480,2014,2.43686074890542,"4.2",2.31574991924896,30,10.1325186410675
114,788481,2014,2.62729261903339,"4.2",2.42910710293194,41,11.3487442941689
114,788482,2014,2.55120099727704,"4.2",2.42398659433021,27,11.290781477589
114,788483,2014,2.09520140545507,"mv",1.90382509395392,34,6.71151759092072
114,788484,2014,2.3568654523339,"mv",2.16191615557548,37,8.68776883610671
114,788485,2014,1.96110214150184,"mv",1.86053939618147,23,6.42720264516991
114,788486,2014,2.44211878063904,"mv",2.00412184704022,37,7.41957551291068
114,788487,2014,2.29712883967326,"mv",2.26871668682158,23,9.66698707850783
124,492740,2014,2.46978859733694,"mv",2.30372514702422,28,10.011407041388
124,492743,2014,2.35370078613801,"mv",2.26017317080158,33,9.58474882169476
124,492744,2014,2.40067807973569,"4.",2.28248837605022,36,9.8010387607105
124,492747,2014,2.72865488543114,"mv",2.66260929097952,30,14.3336409866433
124,492751,2014,2.57646226163409,"4.4",2.26433567515605,56,9.62472853053215
124,492755,2014,2.29044015475404,"mv",2.19538201132224,32,8.98343217421789
124,492759,2014,2.55613984312485,"mv",2.36937326911543,42,10.6906899984664
124,492764,2014,1.89059117629114,"mv",1.74142119840258,26,5.70544623453106
124,492772,2014,2.25644349377997,"3.9",2.0714717664857,29,7.93649519409783
124,492776,2014,2.4035614446035,"mv",2.31422725204451,33,10.1171019274751
165,494346,2014,1.28019078842485,"mv",1.05776968494902,12,2.87994064611897
165,494347,2014,2.09705079612576,"mv",1.97594008523621,18,7.2133976760201
165,494350,2014,1.61907644942551,"mv",1.4604009182022,17,4.30768621200437
165,494353,2014,1.90817410406833,"mv",1.74686434245491,19,5.73658647378771
165,494355,2014,1.66185688905668,"4.1",1.4448247416874,20,4.24110878811305
165,494357,2014,1.93066436396144,"mv",1.68506783461401,21,5.39281673958415
165,494366,2014,1.7533674749158,"3.6",1.64733666477988,15,5.19313034550844
165,494375,2014,2.42069745364573,"mv",2.3945509599268,23,10.9632740042528
166,494400,2014,2.45034650154563,"mv",2.21839238924394,40,9.1925409531443
166,494402,2014,2.63916492603123,"mv",2.50497283358754,37,12.2432263567461
166,494403,2014,1.87821275037226,"3.9",1.62784535386393,29,5.09288951346018
166,494408,2014,2.26307153999997,"mv",1.94391834566771,35,6.98607125255489
166,494411,2014,2.31370427951199,"5.",2.09256505526477,25,8.10568003865242
176,494744,2014,1.89163666516665,"4.3",1.52008749339458,33,4.57262525214619
176,494747,2014,2.18759611604131,"mv",1.84997548711788,33,6.35966362700629
176,494751,2014,1.76894883500429,"4.5",1.3670991866,23,3.92395151887487
176,494762,2014,1.66399986539788,"mv",1.23916305432799,32,3.45272251398233
176,494763,2014,2.37283635194126,"4.8",1.9684450159673,45,7.15953486567128
176,494770,2014,2.17561971519202,"mv",1.87977099305035,38,6.55200423586661
176,494773,2014,1.73681865640085,"mv",1.40180326821199,36,4.06251917730456
176,494774,2014,2.34943508833313,"mv",1.98555330558167,42,7.28307603743604
176,494777,2014,2.13401343922441,"mv",1.91844212662768,42,6.8103405525501
185,495087,2014,1.84370712844154,"mv",1.42189564048375,28,4.14497037121687
185,495092,2014,2.553817491576,"mv",2.26149512736816,42,9.59742782203598
185,495093,2014,2.08056205265679,"mv",1.73134081757119,32,5.64822206892919
185,495095,2014,1.94990212237243,"mv",1.416692650629,45,4.12346013971079
185,495102,2014,2.19714324219107,"4.4",1.95182990465414,28,7.04156118384646
185,495106,2014,2.46502742594219,"mv",2.15180629636624,45,8.60037920907851
185,495111,2014,2.06706969559743,"6.1",1.86407168526801,27,6.44994552649914
185,495113,2014,2.31431821095032,"mv",2.02686949971108,38,7.59028772947752
185,536109,2014,2.06460577356134,"4.4",1.73850033807731,29,5.68880573710159
185,536117,2014,2.07389402935261,"mv",1.73188952566119,29,5.65132214451306
195,495465,2014,1.63006284448602,"4.3",1.45349033145501,17,4.27802019560781
195,495472,2014,1.86648903209247,"mv",1.68429451835153,21,5.3886479987841
195,495476,2014,1.65353911691244,"mv",1.49629117587104,15,4.46509805936435
195,495477,2014,1.432051940298,"3.9",1.1239266700043,22,3.07691253340852
195,495494,2014,1.79858073462917,"mv",1.39933352222321,28,4.05249816663122
195,495497,2014,2.31505829239376,"3.7",2.07684727457494,30,7.97927276078316
195,495498,2014,1.67466928575895,"mv",1.46504177308939,18,4.32772401892722
195,495505,2014,2.0161452237688,"mv",1.65776124975317,31,5.24754973100576
195,495521,2014,1.85134604396176,"mv",1.55136689997476,30,4.7179146945626
195,495524,2014,1.95734568779716,"mv",1.65238741855317,22,5.21942591852828
1077,496501,2014,1.42753523506321,"mv",1.16716017041076,21,3.21285570830021
1077,496504,2014,2.26473276261892,"mv",2.20451796133348,18,9.06588040950393
1077,496505,2014,1.65906281924351,"4.",1.43615111729411,26,4.20448207626857
1077,496507,2014,2.28471932588404,"mv",2.00947702327525,29,7.45941522650521
1077,496508,2014,1.93151043971002,"5.3",1.71755499526993,21,5.57089094445975
1077,496509,2014,2.12040157656084,"mv",1.9570778635851,21,7.07861214367165
1077,496510,2014,2.07571518435092,"mv",1.59365583559373,32,4.92170903780199
1077,496511,2014,1.46053494944876,"mv",1.30306656808262,16,3.68056608605396
1077,496513,2014,1.64636766363558,"mv",1.4774412084301,20,4.38171941750273
1077,496517,2014,2.41916306557429,"mv",2.31359187961108,28,10.1106758414993
1078,575051,2014,2.60313524355972,"mv",2.4617645292608,37,11.7254832549947
1078,575096,2014,2.04656260539487,"mv",1.8382248854901,26,6.28537109902537
1078,575103,2014,2.6295400117806,"mv",2.49333971692682,43,12.1016247073896
1078,575105,2014,2.45902342856656,"mv",2.15920610665912,43,8.66425643185993
1078,575118,2014,2.63521519131312,"mv",2.51245043868907,36,12.3351195107891
1078,575124,2014,2.28880595378076,"mv",2.00963807875745,33,7.46061670297104
1078,575133,2014,2.31340391498989,"3.9",2.13874157452721,34,8.4887484472494
1078,575149,2014,1.87694829372905,"mv",1.58103115964237,23,4.85996462773638
1078,575156,2014,1.79145049577536,"4.3",1.20861747080833,35,3.34885156555002
1078,575173,2014,2.58129022389097,"mv",2.48307409069004,35,11.9780294281587
1079,534404,2014,1.4353969590851,"mv",1.02910474715661,22,2.79855929470699
1079,534406,2014,1.77825275779907,"mv",1.54315438146249,22,4.67932739911122
1079,534407,2014,1.54000039561489,"mv",0.980801390838188,29,2.66659236857229
1079,534411,2014,1.75866106245539,"mv",1.55196924264438,23,4.72075735193577
1079,534412,2014,2.52941109752818,"4.9",2.3686332878931,37,10.6827820148543
1079,534422,2014,2.23462275892439,"mv",2.15430079855083,24,8.62185965417385
1079,534424,2014,2.03411173963658,"3.9",1.7631879939245,35,5.83099697770297
1079,534427,2014,1.76698871603799,"3.9",1.61255427928705,17,5.01560613886143
1079,534433,2014,2.62840140089955,"mv",2.50426982068686,34,12.2346222354299
1080,533551,2014,2.10951881485287,"mv",1.8159669362602,31,6.14701707845101
1080,533556,2014,2.0614315908172,"mv",1.86139404937684,26,6.43269802243423
1080,533567,2014,1.89508142110476,"mv",1.62612090245812,25,5.08411464107408
1080,533568,2014,2.45678494052512,"mv",2.21106887114461,28,9.12546512839809
1080,533572,2014,2.19208380249775,"4.",1.84284625352384,32,6.31448533408405
1080,577429,2014,1.96569883048336,"3.5",1.63655677904014,27,5.13744964872814
1080,577492,2014,2.40864636893155,"mv",2.21928447213438,28,9.20074512050286
1080,577631,2014,2.00262066189657,"mv",1.72265750028492,25,5.59938908757049
1080,577638,2014,2.19619465328206,"mv",2.03837879206857,25,7.67815122346116
1080,577642,2014,2.28877690570628,"3.9",2.07438171122105,29,7.95962359136347
1081,577462,2014,1.9002352519505,"5.3",1.66536637330332,32,5.28761013411926
1081,577486,2014,1.92362563900357,"mv",1.86530717855366,25,6.45791931565716
1081,577680,2014,2.26695405512864,"mv",2.06240255210755,36,7.8648428242434
1081,577861,2014,2.13903864611009,"mv",1.98126856157281,29,7.25193668074526
1081,577862,2014,2.48559037273822,"4.6",2.23774363948522,43,9.37216043913865
1081,577863,2014,2.2532832964685,"mv",2.0867886695609,34,8.05899347397374
1081,577864,2014,2.23481809172146,"mv",2.14738225699629,21,8.56241483272911
1081,577909,2014,2.19602374943622,"mv",2.12896729277077,26,8.40618120326805
1081,577914,2014,2.49335511559026,"mv",2.33937882941388,28,10.374790046332
1081,577945,2014,2.33092966717619,"4.4",2.17375120563602,31,8.79119986360845
1082,534444,2014,1.45628527988199,"mv",0.935694226211051,28,2.54898241404338
1082,534449,2014,2.25525335381401,"mv",1.98045471554793,37,7.24603712189687
1082,534459,2014,2.73357922804963,"mv",2.42277184295201,38,11.2770743123127
1082,534461,2014,2.1173554570985,"mv",1.64431727474494,38,5.17747390783359
1082,534470,2014,2.28149975750872,"mv",2.09618199546192,25,8.13505088288324
1082,535415,2014,2.32999090500553,"4.2",2.0632516788923,38,7.87152390908593
1082,535416,2014,2.30757707022291,"3.9",1.73088938646336,46,5.64567286122249
1082,535417,2014,2.18564061881875,"4.",1.92811378410535,33,6.8765273859408
1082,535418,2014,2.14553338791323,"mv",1.85963912420319,35,6.42141901853889
1082,535420,2014,2.37770183399736,"mv",2.09203019903652,40,8.10134582439357
1083,496523,2014,1.92407162301932,"mv",1.69119070305917,29,5.42593754071001
1083,496528,2014,2.02706226364162,"mv",1.90207915685767,23,6.6998099267832
1083,496533,2014,1.81982568807788,"3.8",1.61069188221608,23,5.0062737816541
1083,496536,2014,1.98022879987786,"mv",1.79996242589015,22,6.04942015856497
1083,496542,2014,1.42464531591907,"mv",1.04197927640298,24,2.83482236226346
1083,496548,2014,1.68877945875073,"3.6",1.48269123937094,24,4.40478407211664
1083,496555,2014,1.41999600294734,"6.1",1.05032251967136,27,2.85857291540353
1083,496557,2014,2.54271401194948,"mv",2.21063702329325,34,9.12152516668297
1083,496565,2014,2.54062652301267,"mv",2.26352987314321,25,9.6169760288194
1083,496566,2014,1.75305905977122,"mv",1.41907959783735,32,4.13331437747392
1084,534481,2014,2.00641378721703,"mv",1.74112819862918,29,5.7037747849563
1084,534486,2014,1.49116828828347,"mv",1.14072019641346,19,3.12902106364378
1084,534489,2014,1.25642909459082,"3.3",1.0727396460639,13,2.9233775588716
1084,534491,2014,1.3463559682056,"mv",1.24151778707866,14,3.46086233255253
1084,535422,2014,2.26940253794774,"mv",2.16685155760152,28,8.73075245148314
1084,535425,2014,2.18456546440987,"3.9",1.96862876777232,31,7.16085056400324
1084,535426,2014,2.1886974026992,"3.9",1.93767098345786,26,6.94256278310977
1084,535427,2014,2.54252758009291,"mv",2.41432014474778,35,11.1821655187917
1084,535428,2014,1.79983848736017,"mv",1.51703420381591,25,4.55868499576634
1084,535429,2014,2.29597065729294,"mv",2.06147811396545,37,7.85757562311152
1085,558323,2014,2.0621472082093,"mv",1.78579812420012,38,5.96433833119927
1085,558331,2014,2.25475180221865,"mv",1.97052282286743,37,7.17442646219031
1085,558335,2014,2.59880855612053,"4.1",2.41944457347418,32,11.2396148006577
1085,558390,2014,1.99682845405544,"mv",1.66436715084241,30,5.28232927412503
1085,558414,2014,2.18414341045778,"mv",2.07366235419184,34,7.95389983914069
1085,558459,2014,2.73692493220206,"mv",2.66190142276389,45,14.3234982480593
1085,558462,2014,2.40919609217508,"4.3",2.12386084718385,29,8.36336490893741
1085,558464,2014,2.16636163597366,"mv",1.95172973827547,30,7.04085589148634
1085,558467,2014,2.53305049553887,"4.3",2.17249823611088,54,8.78019165600446
1085,558473,2014,2.35939334869347,"mv",2.09143830096589,31,8.09655207227686
1086,496571,2014,1.8275006979451,"3.9",1.58532443910263,19,4.88087466825571
1086,496572,2014,1.76376015215544,"mv",1.44818798507955,25,4.25539668258535
1086,496573,2014,2.2174844078832,"3.9",1.93425600221422,26,6.91889449779966
1086,496574,2014,1.82799107982238,"mv",1.60543349500578,23,4.98001794779906
